Health Facility Name,Address,pincode,landline_number,Facility Type
Uchampatti,"['Govt Building', 'Ist Street', 'Opp Murugan Kovil', 'Tamil Nadu', 'Dharmapuri', 'Palakkodu', 'Karimangalam']",635111.0,04348-24777,SubCentre
Nallampalli,"['Nallampalli Phc', 'Nallampalli Santhai Street', 'Nallampalli', 'Tamil Nadu', 'Dharmapuri']",636704.0,4342244455,Primary Health Centre
Masinagudi,"['Masinagudi Primary Health Centre', 'Singara Road', 'Masinagudi', 'Tamil Nadu', 'The Nilgiris', 'Gudalur']",643223.0,0423-2526743,Primary Health Centre
Uthagamandalam,"['Government Head Quarters Hospital', 'Near Ayyappan Temple', 'Udhagamandalam', 'Tamil Nadu', 'The Nilgiris', 'Udhagamandalam Mpty']",643001.0,0423-2442212,District Hospital
Seeliyur,"['A Govenment Building', 'Tholampalayam Road', 'Seeliyur', 'Tamil Nadu', 'Coimbatore', 'Mettupalayam', 'Karamadai']",641113.0,4254284089,SubCentre
Civil Hospital Kharsia,"['Civil Hospital Kharsia', 'Station Road Kharsia', 'Near Railway Station', 'Chhattisgarh', 'Raigarh', 'Kharsia', 'Kharsiya']",496661.0,7762273564,Sub-District Hospital
Mannargudi,"['Government Hospital', 'Government Hospital Road', 'District Head Quarters Hospital Mannargudi', 'Tamil Nadu', 'Thiruvarur', 'Mannargudi']",614001.0,04367-252215,District Hospital
Mannargudi Uphc,"['No', 'Rukmani Palayam Mainroad Mannargudi', 'Mannargudi', 'Tamil Nadu', 'Thiruvarur', 'Mannargudi???ˇ Mpty']",614001.0,4367270773,Primary Health Centre
Koothanallur,"['Government Hospital', 'Vadappathimangalam Road', 'Government Hospital Koothanallur', 'Tamil Nadu', 'Thiruvarur', 'Mannargudi']",614001.0,4367232459,Sub-District Hospital
Sankara Eye Hospital,"['Third Cross Street Sri Sankara Nagar Pammal', 'Chennai', 'Tamil Nadu', 'Kancheepuram', 'Sriperumbudur', 'Kundrathur']",600075.0,4422484585,Others
Arcot,"['Sh', 'Mathbakkanburan Street', 'Arcot', 'Tamil Nadu', 'Vellore', 'Arcot Mpty']",632503.0,4172235120,Sub-District Hospital
Annur,"['Annur Gh', 'Coimbatore Road', 'Annur', 'Tamil Nadu', 'Coimbatore', 'Coimbatore North']",641653.0,04254-264301,Sub-District Hospital
Appakudal,"['Primary Health Centres', 'Arthanari Street', 'Appakudal', 'Tamil Nadu', 'Erode', 'Bhavani', 'Bhavani Mpty']",638315.0,4256249277,Primary Health Centre
E Vadugapalayam,"['Phc E Vadugapalayam', 'Kethanur To E Vadugapalayam Road', 'E Vadugapalayam', 'Tamil Nadu', 'Tiruppur', 'Palladam', 'Pongalur']",641664.0,0421-2315752,Primary Health Centre
Koduvai,"['Phc Koduvai', 'Dharapuram Main Road', 'Koduvai', 'Tamil Nadu', 'Tiruppur', 'Palladam', 'Pongalur']",638660.0,0421-2313151,Primary Health Centre
Kottur,"['Kottur Gh', 'Valparai Road', 'Kottur', 'Tamil Nadu', 'Coimbatore', 'Valparai', 'Anamalai']",641708.0,04295-286574,Sub-District Hospital
Bhavani,"['Sub Divisional Taluka', 'Anthiur Mainroad', 'Bhavani', 'Tamil Nadu', 'Erode', 'Bhavani Mpty']",638315.0,4256230333,Sub-District Hospital
Gudalur Urban,"['Gudalur Urban Primary Health Centre', 'Pattathulasi Amman Kovil Street', 'Gudalur', 'Tamil Nadu', 'The Nilgiris']",643212.0,04262-261050,Primary Health Centre
Sulur,"['Sulur Gh', 'Trichy Road', 'Somanur', 'Tamil Nadu', 'Coimbatore', 'Sulur']",641402.0,4222680770,Sub-District Hospital
Vettaikaranputhur,"['Vettaikaranputhur Gh', 'Sethumadai Road', 'Vettaikaranputhur', 'Tamil Nadu', 'Coimbatore', 'Valparai', 'Anamalai']",642129.0,4253281445,Sub-District Hospital
Harur,"['Harur Gh', 'Tamil Nadu', 'Dharmapuri', 'Harur']",636903.0,9751160530,Sub-District Hospital
Phc Kanonda,"['Primary Health Center', 'Village Kanonda', 'Kanonda', 'Haryana', 'Jhajjar', 'Chc Chhara']",124507.0,7027814809,Primary Health Centre
Vadavalli Uphc,"['Vadavalli Uphc', 'Periyar Nagar', 'Vadavalli', 'Tamil Nadu', 'Coimbatore', 'Coimbatore South', 'Thondamuthur']",641041.0,0422-2650536,Primary Health Centre
Cuddalore,"['Government Building', 'Hospital Rd', 'Cuddalore', 'Tamil Nadu', 'Cuddalore Mpty']",607001.0,04142-230052,District Hospital
Thirukoilur Uphc,"['Thirukoilur', 'Urban Health Center', 'Tirukoilur', 'Tamil Nadu', 'Viluppuram', 'Tirukkoyilur']",605757.0,04153-255183,Primary Health Centre
Dharmapuri Medl Coll Hospital Mch,"['A', 'Nethaji Bypass Road', 'Dharmapuri', 'Tamil Nadu', 'Dharmapuri Mpty']",636701.0,04342 233600,Medical Colleges Hospital
Sembedu,"['Sembedu Phc', 'Vellore To Jamalpuram Road', 'Sembedu', 'Tamil Nadu', 'Vellore', 'Vellore Corp']",632002.0,0416-2911262,Primary Health Centre
Chidambaram,"['Government Building', 'S P Koil Street', 'Chidambaram', 'Tamil Nadu', 'Cuddalore', 'Kumaratchi']",608001.0,04144 223099,Sub-District Hospital
Sathuvachari,"['Sathuvachari Uphc', 'Th Street Phase Ii', 'Sathuvachari Urban', 'Tamil Nadu', 'Vellore', 'Vellore Corp']",632009.0,0416-2257160,Primary Health Centre
Pujanganur,"['A', 'Parugaya Company Street', 'Pujanganur', 'Tamil Nadu', 'Coimbatore', 'Mettupalayam', 'Karamadai']",641110.0,284089,SubCentre
Community Health Center Ramsar,"['Chc Ramsar', 'Villagr Ramsar Tehsil Ramsar', 'Ramsar', 'Rajasthan', 'Barmer ', 'Barmer']",344502.0,2985270418,Community Health Center
Kovilpatti,"['Government Head Quarters Hospital', 'New Road', 'Kovilpatti', 'Tamil Nadu', 'Thoothukkudi', 'Kovilpatty']",628501.0,4632220040,District Hospital
Ettayapuram,"['Sub District Hospital', 'Middle Street', 'Ettayapuram', 'Tamil Nadu', 'Thoothukkudi', 'Kovilpatti', 'Kovilpatty']",628902.0,04632-271595,Sub-District Hospital
Ottapidaram,"['Voc Government Hospital', 'Oosanuthu Road', 'Ottapidaram', 'Tamil Nadu', 'Thoothukkudi']",628401.0,0461-2366230,Sub-District Hospital
Thoothukudi Medl Coll Hl Mch,"['Medical College Hospital Thoothukudi', 'Subbaiah Puram', 'Thoothukudi', 'Tamil Nadu', 'Thoothukkudi']",628002.0,0461 233581,Medical Colleges Hospital
Vilathikulam,"['Sub District Hospital', 'Vembar Road', 'Vilathikulam', 'Tamil Nadu', 'Thoothukkudi']",628907.0,04638-233179,Sub-District Hospital
Kovilpatti Uphc,"['Urban Phc', 'Oorani Street', 'Kovilpatti', 'Tamil Nadu', 'Thoothukkudi', 'Tiruchendur', 'Kovilpatti Mpty']",628501.0,4632223730,Primary Health Centre
Government Hospital Gudalur,"['Pwd Building', 'Gh Melgudalur', 'Gudalur', 'Tamil Nadu', 'The Nilgiris']",643212.0,04262- 261222,Sub-District Hospital
Government Head Quarters Hospital Ikkadu,"['Government Head Quarters Hospital Ikkadu', 'J N Road', 'Thiruvallur', 'Tamil Nadu', 'Ikkadu']",602001.0,044-27660226,District Hospital
Pandalur,"['Pwd Building', 'Hospital Road', 'Pandhalur', 'Tamil Nadu', 'The Nilgiris', 'Panthalur', 'Gudalur Mpty']",643233.0,04262- 220184,Sub-District Hospital
Thiruvarur Medl College Hl Mch,"['Govt Medical College', 'Thandalai', 'Government Medical College Hospital Thiruvarur', 'Tamil Nadu', 'Thiruvarur']",610004.0,4366229998,Medical Colleges Hospital
Tiruthuraipoondi,"['Government Hospital', 'Sandapeettai', 'Thiruthuraipoondi', 'Tamil Nadu', 'Thiruvarur']",614713.0,4369222125,Sub-District Hospital
Vijayapuram Wch,"['Goverment Hospital', 'Chinna Palivasal Street', 'Women And Children Hospital Vijayapuram', 'Tamil Nadu', 'Thiruvarur', 'Tiruvarur???ˇ Mpty']",610001.0,4366220322,Women Hospital
Ramanathapuram,"['Ramanathapuram Dhqh', 'Lathams Bungalow Road', 'Ramanathapuram', 'Tamil Nadu', 'Ramanathapuram Mpty']",623501.0,04567-220308,District Hospital
Podaddurpet,"['Government Taluk Hospital Podaddurpet', 'Main Raod', 'Pallipattu', 'Tamil Nadu', 'Thiruvallur', 'Pallaipattu']",631207.0,4427896235,Sub-District Hospital
Gugai Uhp,"['Gugai Uphc', 'Varathammal Ward Maruthuvamanai St', 'Gugai', 'Tamil Nadu', 'Salem', 'Salem Corporation']",636006.0,0427-2210098,Primary Health Centre
Kamuthi,"['Gundaru Thirumbum Street', 'Kamuthi', 'Tamil Nadu', 'Ramanathapuram', 'Kamudhi']",623603.0,4576223332,Sub-District Hospital
Ponneri,"['Government Non Taluk Hospital Ponneri', 'Main Raod', 'Minjur', 'Tamil Nadu', 'Thiruvallur', 'Ponneri']",601204.0,044-27972256,Sub-District Hospital
Ariyalur,"['N', 'Keerakarai Street', 'Ariyalur', 'Tamil Nadu', 'Ariyalur  ']",621704.0,04329 224050,District Hospital
Arakkonam,"['No A', 'Gandhi Road Arakkonam', 'Arakkonam', 'Tamil Nadu', 'Vellore', 'Arakonam', 'Arakkonam Mpty']",631001.0,4177232270,Sub-District Hospital
Vaniyambadi,"['Vaniyambadi Gh', 'Musilimpur Street', 'Vaniyambadi', 'Tamil Nadu', 'Vellore', 'Vaniyambadi Mpty']",635751.0,4174225700,Sub-District Hospital
Paramakudi,"['Gh Paramakudi', 'Madurai Main Road', 'Tamil Nadu', 'Ramanathapuram', 'Paramakudi', 'Paramakudi Mpty']",623707.0,222533,Sub-District Hospital
Gudiyatham Uphc,"['Gudiyatham Urbanphc', 'Rajaji Street', 'Nadupet Gudiyatham', 'Tamil Nadu', 'Vellore', 'Gudiyatham', 'Gudiyatham Mpty']",632602.0,04171-229865,Primary Health Centre
Gummudipoondi,"['Government Hospital Gummudipoondi', 'Main Raod', 'Gummidipoondi', 'Tamil Nadu', 'Thiruvallur']",601201.0,4427928431,Sub-District Hospital
Agarakaram,"['Agarakaram Phc', 'Govt High School Road', 'Rangasamuthiram', 'Tamil Nadu', 'Vellore', 'Gudiyatham', 'Gudiyatham Mpty']",632602.0,04171-249259,Primary Health Centre
Bojanapuram,"['Bojanapuram Phc', 'Seevooranpatti', 'Bojanapuram', 'Tamil Nadu', 'Vellore', 'Gudiyatham', 'Gudiyatham Mpty']",632602.0,04171-241583,Primary Health Centre
Mangalam,"['Mangalam Phc', 'Upputhotam', 'Mangalam Main Road', 'Tamil Nadu', 'Tiruppur', 'Avanashi', 'Tiruppur Corp']",641663.0,0421-2345710,Primary Health Centre
Gudiyatham,"['Gudiyatham Gh', 'Gudiyatham New Busstand', 'Gudiyatham', 'Tamil Nadu', 'Vellore', 'Gudiyatham Mpty']",632602.0,4171221111,Sub-District Hospital
Chinnamottur,"['Chinnamottur Phc', 'Chinnmottor', 'Tamil Nadu', 'Vellore', 'Tirupathur', 'Jolarpettai']",635815.0,4179241935,Primary Health Centre
Pazhavarkadu,"['Government Taluk Hospital Pazhavarkadu', 'Main Raod', 'Minjur', 'Tamil Nadu', 'Thiruvallur', 'Ponneri']",601204.0,044-27972256,Sub-District Hospital
Kadaladi,"['Goverment Hospital', 'Paramakudi Main Road', 'Kadaladi', 'Tamil Nadu', 'Ramanathapuram']",623703.0,04576 - 266354,Sub-District Hospital
Velampalayam,"['A Velampalayam Phc', 'Nerhu Street', 'Velampalayam', 'Tamil Nadu', 'Tiruppur', 'Avanashi', 'Tiruppur Corp']",641652.0,0421-2257511,Primary Health Centre
Dharapadavedu,"['Dharapadavedu Uphc', 'Balaji Nagar', 'Dharapadavedu', 'Tamil Nadu', 'Vellore', 'Katpadi']",632007.0,2241155,Primary Health Centre
Minnur,"['Minnur Phc', 'Nh Chennai To Bangalore Road', 'Minnur Village', 'Tamil Nadu', 'Vellore', 'Ambur', 'Madanur']",635807.0,04171-253777,Primary Health Centre
Karungalpatti Mch Uphc,"['Karungalpatty Uphc', 'Veeravanji Street', 'Karungalpatty', 'Tamil Nadu', 'Salem', 'Salem Corporation']",636015.0,0427-2465447,Primary Health Centre
Ambur,"['Ambur Gh', 'Nethaji Street', 'Ambur', 'Tamil Nadu', 'Vellore', 'Madanur']",635802.0,4174242636,Sub-District Hospital
Jamanapudur,"['No Jamanapudur Phc', 'Thimnamuthur Main Road', 'Jamanapudur', 'Tamil Nadu', 'Vellore', 'Tirupathur', 'Tirupattur Mpty']",635652.0,04179 - 251 598,Primary Health Centre
Chinnamanur Uphc,"['Chinnamanur Uphc', 'Muthalamman Kovil Street', 'Muthalamman Koil', 'Tamil Nadu', 'Theni  ', 'Uthamapalayam', 'Chinnamanur Mpty']",625515.0,247394,Primary Health Centre
Rajan Clinic,"['R R Sethupathy Nagar', 'Devipattinam Road', 'Tamil Nadu', 'Ramanathapuram', 'Ramanathapuram Mpty']",623501.0,04567 - 221225,Others
Tirupathur,"['Tirupattur Gh', 'Govt Gardan Road', 'Railway Station Road', 'Tamil Nadu', 'Vellore', 'Tirupathur', 'Tirupattur Mpty']",635601.0,04179 - 220049,Sub-District Hospital
Mudukulathur,"['Paramakudi Main Road', 'Mudukulathur', 'Tamil Nadu', 'Ramanathapuram']",623704.0,4576222233,Sub-District Hospital
Tiruppur,"['Govt Head Quarters Hospital', 'Dharapuram Main Road', 'Tiruppur', 'Tamil Nadu', 'Avanashi', 'Tiruppur Corp']",641608.0,0421 2421201,District Hospital
Theni Medl Coll Hospital Mch,"['Govt Theni Medical College Hospital', 'Madurai Main Road', 'Near Gandamanur Vilakku', 'Tamil Nadu', 'Theni  ', 'Theni ', 'Theni Allinagram Mpty']",625517.0,nil,Medical Colleges Hospital
Andipatti,"['Gh Andipatti', 'Theni Main Road', 'Andipatti', 'Tamil Nadu', 'Theni  ']",625512.0,4546242600,Sub-District Hospital
Banduvarpatti,"['Sub Centre Banduvarpatty', 'North Street', 'Banduvarpatty', 'Tamil Nadu', 'Theni  ', 'Andipatti']",625512.0,nil,SubCentre
Dharmathupatti,"['Primary Health Centre P Dharmathupatti', 'West Street', 'P Dharumathupatti', 'Tamil Nadu', 'Theni  ', 'Andipatti']",625536.0,nil,Primary Health Centre
Udumalpet,"['Uphc Udumalpet', 'Advocate Nagarajan St', 'Udumalpet', 'Tamil Nadu', 'Tiruppur', 'Udumalaipettai', 'Udumalpet Mpty']",642126.0,04252 -230885,Primary Health Centre
Dharapuram,"['Urbanphc Dharapuram', 'Chrch Street', 'Town Panchayath', 'Tamil Nadu', 'Tiruppur', 'Dharapuram', 'Dharapuram Mpty']",638656.0,4258220020,Primary Health Centre
Thiruchopuram,"['Government Building', 'Main Road', 'Thiruchopuram', 'Tamil Nadu', 'Cuddalore', 'Kurinjipadi ', 'Kurunjipadi']",608801.0,04142 270269,Primary Health Centre
Chinnamanur,"['Gh Chinnamanur', 'Union Office', 'Chinnamanur', 'Tamil Nadu', 'Theni  ', 'Uthamapalayam', 'Chinnamanur Mpty']",625515.0,04554-246686,Sub-District Hospital
Kurangani,"['Primary Health Centres Kurangani', 'Main Road', 'Kurangani', 'Tamil Nadu', 'Theni  ', 'Bodinayakanur', 'Bodinayakkanur Mpty']",625582.0,04546-229606,Primary Health Centre
Andarmullipallam,"['Maternity Centre', 'Near Icds', 'Andarmullipallam', 'Tamil Nadu', 'Cuddalore', 'Kurinjipadi ', 'Kurunjipadi']",608801.0,04142 270269,SubCentre
Bodinaickannur,"['Gh Bodinayakanur', 'Munthal Road', 'Bodinayakkanur', 'Tamil Nadu', 'Theni  ', 'Bodinayakanur', 'Bodinayakkanur Mpty']",625513.0,04546-28032,Sub-District Hospital
Thiyagavalli,"['Danida Bulding', 'Main Road', 'Thiyagavalli', 'Tamil Nadu', 'Cuddalore', 'Kurinjipadi ', 'Kurunjipadi']",608801.0,04142 270269,SubCentre
Mayiladuthurai,"['Hospital Road', 'Mayiladuthurai Municipality', 'Tamil Nadu', 'Nagapattinam  ', 'Mayiladuthurai', 'Mayiladuthurai Mpty']",609101.0,04365 222459,Sub-District Hospital
Theni Allinagaram Uphc,"['No', 'Railway Station Road Theni', 'Theni', 'Tamil Nadu', 'Theni  ', 'Theni ', 'Theni Allinagram Mpty']",625531.0,4546252660,Primary Health Centre
Sirkazhi,"['Op Block', 'Pidari South Street', 'Sirkazhi Municipality', 'Tamil Nadu', 'Nagapattinam  ', 'Sirkali', 'Sirkazhi Mpty']",609110.0,4364270581,Sub-District Hospital
Jangalpatti,"['Primary Health Centres Jangalpatti', 'North St', 'Jangalpatti', 'Tamil Nadu', 'Theni  ', 'Theni ', 'Theni Allinagram Mpty']",625520.0,4546291304,Primary Health Centre
Thirukuvalai,"['Government Hospital', 'Main Raod', 'Thirukuvalai', 'Tamil Nadu', 'Nagapattinam  ', 'Kilvelur', 'Keelaiyur']",610201.0,04364-245240,Sub-District Hospital
Periakulam,"['District Hd Qrs Hospital Periakulam', 'Soathuparaai Road', 'Periakulam', 'Tamil Nadu', 'Theni  ', 'Periyakulam', 'Periyakulam Mpty']",625601.0,4546239292,District Hospital
Tharangambadi,"['Kamarajar Salai', 'Tharangambadi', 'Tamil Nadu', 'Nagapattinam  ', 'Sembanarkoil']",609313.0,04364-289273,Sub-District Hospital
Periyakulam Uphc,"['Primary Health Centres Periyakulam Uphc', 'Vaigaidam Main Road', 'Periyakulam Uphc', 'Tamil Nadu', 'Theni  ', 'Periyakulam', 'Periyakulam Mpty']",625601.0,45646234224,Primary Health Centre
Kilvelur,"['Chinnakadai Theru', 'Kilvelur', 'Tamil Nadu', 'Nagapattinam  ']",611104.0,04364-275333,Sub-District Hospital
Vedaranyam,"['Hospital Road', 'Vedaranyam', 'Tamil Nadu', 'Nagapattinam  ', 'Vedaranyam Mpty']",614806.0,04366-250620,Sub-District Hospital
Kuthalam,"['Government Hospital', 'Thanjavur Main Road', 'Kuthalam', 'Tamil Nadu', 'Nagapattinam  ', 'Tharangambadi', 'Kuttalam']",609801.0,04369-231459,Sub-District Hospital
Nagapattinam,"['Public Office Road', 'Nagapattinam', 'Tamil Nadu', 'Nagapattinam  ', 'Nagapattinam Mpty']",611101.0,04365-247677,District Hospital
Balaji Hospital,"['No Varadhanar Street Vedhachala Nagar', 'Chengalpattu', 'Tamil Nadu', 'Kancheepuram', 'Sriperumbudur']",603001.0,4427428304,Others
Tindivanam Uphc,"['Municipality Community Hall', 'Jayapuram Nd Cross Street', 'Tindivanam', 'Tamil Nadu', 'Viluppuram', 'Tindivanam???ˇ Mpty']",604001.0,4147442233,Primary Health Centre
Kothagiri,"['Govt Hospital', 'Kotagiri Kotagiri Post', 'Kothagiri', 'Tamil Nadu', 'The Nilgiris', 'Kotagiri']",643217.0,2489647,Sub-District Hospital
Valavanur,"['Valavanur Gh', 'Old Panchayat Board Street', 'Valavanur Town', 'Tamil Nadu', 'Viluppuram', 'Koliyanur']",605108.0,04146-220449,Sub-District Hospital
Jayamkondan,"['Govt Hospital', 'T Palur Road', 'Jayankondam', 'Tamil Nadu', 'Ariyalur  ', 'Udayarpalayam', 'Jayamkondam Mpty']",621802.0,04331 250256,Sub-District Hospital
Batalagundu,"['Batlagundu Gh', 'Near Bus Stand', 'Batlagundu', 'Tamil Nadu', 'Dindigul', 'Nilakkottai']",624202.0,04543 265564,Sub-District Hospital
Pattiveeranpatti,"['Pattiveeranpatti Gh', 'Ayyampalayam Road', 'Pattiveeranpatti', 'Tamil Nadu', 'Dindigul', 'Nilakkottai', 'Batlagundu']",624211.0,04543 267146,Sub-District Hospital
Kodaikanal,"['Kodaikanal Gh', 'Anna Nagar', 'Kodaikanal', 'Tamil Nadu', 'Dindigul', 'Kodaikanal Mpty']",624101.0,04542 241292,Sub-District Hospital
Villupuram Mch,"['Villupuram Govt Medical College Hospital', 'Chennai Main Road', 'Villupuram', 'Tamil Nadu', 'Viluppuram', 'Vikravandi']",605601.0,04146-232300 / 232500,Medical Colleges Hospital
Villupuram,"['Villupuram Govt Hospital', 'Chennai Main Road', 'Villupuram', 'Tamil Nadu', 'Viluppuram']",605602.0,04146 - 220353,Sub-District Hospital
Natham,"['Natham Gh', 'Main Road', 'Natham', 'Tamil Nadu', 'Dindigul']",624401.0,04544 244300,Sub-District Hospital
Nilakottai,"['Nilakottai Gh', 'Nilakottai To Sempatti Road', 'Nilakottai', 'Tamil Nadu', 'Dindigul', 'Nilakkottai']",624208.0,04543 233634,Sub-District Hospital
Oddanchatram,"['Oddanchatram Gh', 'Dharapuram Road', 'Oddanchatram', 'Tamil Nadu', 'Dindigul']",624619.0,04553 241774,Sub-District Hospital
Ayakudi,"['Ayakudi Gh', 'Dindigul Road', 'Ayakudi', 'Tamil Nadu', 'Dindigul', 'Palani', 'Palani Mpty']",624613.0,04545 251089,Sub-District Hospital
Palani,"['Palani Gh', 'Dindigul Road', 'Palani', 'Tamil Nadu', 'Dindigul', 'Palani Mpty']",624601.0,04545 240424,Sub-District Hospital
Vedasendur,"['Vedasandur Gh', 'Eriodu Road', 'Vedasandur', 'Tamil Nadu', 'Dindigul']",624710.0,04551 260290,Sub-District Hospital
Krishnagiri,"['District Head Quarter Hospital Krishnagiri', 'Gandhi Road', 'Krishnagiri', 'Tamil Nadu', 'Krishnagiri Mpty']",635001.0,04343-232802,District Hospital
Uthangarai,"['Government Hospital Uthangarai', 'Uthangarai', 'Tamil Nadu', 'Krishnagiri']",635207.0,04341-222043,Sub-District Hospital
Uthamapalayam,"['Gh Uthamapalayam', 'Gramachavadi St', 'Uthamapalayam', 'Tamil Nadu', 'Theni  ']",625533.0,4554265243,Sub-District Hospital
Srirangam,"['Govt Hospital Srirangam', 'Gandhi Road', 'Srirangam', 'Tamil Nadu', 'Tiruchirappalli', 'Anthanallur']",620005.0,0431-2432227,Sub-District Hospital
Tindivanam,"['Gh Tindivanam', 'Ghanthi Street', 'Tindivanam', 'Tamil Nadu', 'Viluppuram', 'Olakkur']",604001.0,4147222250,Sub-District Hospital
Thiruthuraipoondi Uphc,"['Municipal Building', 'Rama Mada Theru', 'Thiruthuraipoondi Uphc', 'Tamil Nadu', 'Thiruvarur', 'Thiruthuraipoondi', 'Thiruthuraipoondi???ˇ Mpty']",614713.0,4369223346,Primary Health Centre
Uphc Adarsh Nagar,"['Uphc Adarsh Nagar', 'Gali Number', 'Adarsh Nagar Bahadurgarh', 'Haryana', 'Jhajjar', 'Bahadurgarh', 'Sdh Bahadurgarh']",124507.0,1276326263,Urban Health Centre
Uphc Netaji Nagar,"['Uphc Netaji Nagar', 'Gali Number Netaji Nagar', 'Netaji Nagar Line Paar', 'Haryana', 'Jhajjar', 'Bahadurgarh', 'Sdh Bahadurgarh']",124507.0,1276261202,Urban Health Centre
Arani Uphc,"['Arni Urban Phc', 'Eswaran Koil Street', 'Arni', 'Tamil Nadu', 'Tiruvannamalai', 'Arani']",632301.0,4173225052,Primary Health Centre
Vandavasi Uphc,"['Urban Primary Health Centre', 'Road Street', 'Vandavasi', 'Tamil Nadu', 'Tiruvannamalai', 'Vandavasi Mpty']",604408.0,4183225566,Primary Health Centre
Canning Sub Divisional Hospital,"['Canning Sd Hospital Building', 'Dighir Par Gp', 'Dighir Par Nonageri', 'West Bengal', 'South 24 Parganas', 'Canning - I', 'Canning-I']",743329.0,3218255242,Sub-District Hospital
Melapalayam,"['Melapalayam Govt Hospital', 'Melapalayam Gh Bus Stop', 'Melapalayam', 'Tamil Nadu', 'Tirunelveli ', 'Palayamkottai']",627005.0,0462 - 2352514,Sub-District Hospital
Tirunelveli Medl Coll Hosp Mch,"['Tvmch', 'High Ground Road', 'Palayamkottai', 'Tamil Nadu', 'Tirunelveli ']",627011.0,0462-2572944,Sub-District Hospital
