drug,sideeffects
argatroban,"Myocardial ischaemia, Pulmonary embolism, Rash, Gangrene, Haemoptysis"
argenine,"Abdominal pain, Myocardial ischaemia, Angina pectoris, Cardiac arrest, Cardiac output decreased"
arginine,"Hypersensitivity, Phlebitis superficial, Sensory loss, Choking, Tachycardia"
aripiprazole,"Photopsia, Depressive symptom, Urinary tract infection, Aspartate aminotransferase increased, Irritable bowel syndrome"
arsenic,"Neuropathy peripheral, Mediastinal disorder, Urticaria, Oral candidiasis, Arthralgia"
articaine,"Musculoskeletal discomfort, Thirst, Rhinitis, Skin disorder, Pharyngitis"
ascorbate,"Shock, Tenderness, Loss of consciousness, Dizziness, Syncope"
asenapine,"Bundle branch block, Mouth ulceration, Mental disorder, Fatigue, Somnolence"
aspirin,"Thirst, Breast feeding, Foetor hepaticus, Coma, Nausea"
atazanavir,"Dermatitis, Nervousness, Nasal congestion, Nausea, Oliguria"
atenolol,"Ventricular tachycardia, Feeling abnormal, Hypotension, Disturbance in sexual arousal, Respiratory distress"
atomoxetine,"Infestation, Abdominal discomfort, Nasopharyngitis, Hot flush, Irritability"
atorvastatin,"Hyperkinesia, Dizziness, Dry eye, Epididymitis, Muscular weakness"
atosiban,"Immune system disorder, Vomiting, Tachycardia, Breast disorder, Pruritus"
atovaquone,"Anxiety, Urinary tract disorder, Skin disorder, Hyperglycaemia, Erythema multiforme"
atracurium,"Tachycardia, Urticaria, Bronchospasm, Azotaemia, Brain injury"
atropine,"Ataxia, Headache, Coma, Left ventricular failure, Dermatitis"
auranofin,"Thrombocytopenia, Nephrotic syndrome, Diarrhoea, Dermatitis exfoliative, Visual impairment"
avanafil,"Dizziness, Pruritus genital, Eye disorder, Abdominal discomfort, Cardiac disorder"
axitinib,"Thrombocytopenia, Gingival bleeding, Pruritus, Dysgeusia, Dyspnoea"
azathioprine,"Headache, Pancytopenia, Steatorrhoea, Sarcoma, Polyp"
azelaic,"Pain, Acne, Dermatitis, Hypertrichosis, Leukoderma"
azelastine,"Face oedema, Dysgeusia, Back pain, Toothache, Paraesthesia"
azilsartan,"Nausea, Fatigue, Diarrhoea, Haemoglobin decreased, Dermatitis"
azithromycin,"Abnormal faeces, Shock, Hostility, Eye irritation, Vaginal infection"
aztreonam,"Pain, Pruritus, Neutropenia, Bronchospasm, Purpura"
baclofen,"Drug withdrawal syndrome, Fatigue, Amnesia, Joint swelling, Hyperhidrosis"
balsalazide,"Hepatic necrosis, Diarrhoea, Pneumonia, Mediastinal disorder, Back pain"
barium,"Diarrhoea, Abdominal pain, Pneumonia aspiration, Granuloma, Intestinal perforation"
bazedoxifene,"Photopsia, Menopausal symptoms, Nervous system disorder, Eye swelling, Eyelid oedema"
beclomethasone,"Infection, Pain, Infection, Pain, Sinusitis"
belinostat,"Anaemia, Electrocardiogram QT prolonged, Blood creatinine increased, Abdominal pain, Infection"
benazepril,"Asthma, Cough, Leukopenia, Headache, Dermatitis"
benazeprilat,"Vomiting, Melaena, Anaphylactoid reaction, Shock, Rash"
bendamustine,"Decreased appetite, Hypertensive crisis, Platelet count decreased, Cardiac failure, Pneumocystis jirovecii pneumonia"
bendrofluazide,"Vomiting, Thirst, Gout, Vascular purpura, Diabetes mellitus"
benzathine,"Fatigue, Apnoea, Myelitis transverse, Haematochezia, Hyperhidrosis"
benzocaine,"Rash, Tenderness, Swelling, Cyanosis, Dyspnoea"
benzonatate,"Laryngospasm, Convulsion, Pruritus, Rash, Agitation"
benzoyl,"Sensitisation, Application site hypersensitivity, Burning sensation, Hypersensitivity, Oedema"
benzphetamine,"Gastrointestinal disorder, Headache, Cardiomyopathy, Urticaria, Decreased appetite"
benztropine,"Disorientation, Vision blurred, Tension, Cerebrovascular accident, Hallucination"
benzydamine,"Pain, Thirst, Headache, Nausea, Somnolence"
benzyl,"Application site anaesthesia, Pain, Hypoaesthesia, Excoriation, Dermatitis infected"
benzylpenicilloyl,"Angioedema, Venous occlusion, Pruritus, Anaphylactic shock, Hypersensitivity"
bepotastine,"Headache, Lip swelling, Rash, Hypersensitivity, Eye irritation"
bepridil,"Cardiac disorder, Arthritis, Akathisia, Vision blurred, Dizziness"
besifloxacin,"Eye pain, Eye irritation, Vision blurred, Eye pruritus, Conjunctival hyperaemia"
betahistine,"Somnolence, Feeling abnormal, Gastrointestinal disorder, Discomfort, Hypersensitivity"
betaine,"Brain oedema, Urinary tract disorder, Hypermethioninaemia, Skin disorder, Urethral disorder"
betamethasone,"Paraesthesia, Cushing's syndrome, Infection, Dermatitis acneiform, Papule"
betaxolol,"Hypertrichosis, Photophobia, Chest pain, Musculoskeletal chest pain, Dyspnoea"
bethanechol,"Flushing, Discomfort, Tachycardia, Eructation, Ill-defined disorder"
bexarotene,"Weight increased, Hyperthyroidism, Cerebrovascular accident, Dyspnoea, Hypertonia"
bezafibrate,"Gastrointestinal pain, Erythema, Influenza, Urinary tract disorder, Myalgia"
bicalutamide,"Nocturia, Urinary tract infection, Aspartate aminotransferase increased, Balanitis, Syncope"
bicarbonate,"Feeling abnormal, Cellulitis, Gastrointestinal pain, Flatulence, Dermatitis"
biguanide,"Anaphylactic shock, Angioedema, Pain, Urticaria, Injection site pain"
bile,"Hepatobiliary disease, Pruritus, Transaminases increased, Skin lesion, Diarrhoea"
bimatoprost,"Dizziness, Bronchitis, Sensation of foreign body, Pruritus, Eyelid retraction"
bisacodyl,"Nervous system disorder, Abdominal pain, Gastrointestinal pain, Abdominal discomfort, Colitis"
bisoprolol,"Somnolence, Paraesthesia, Alopecia, Hypotension, Ear pain"
bleomycin,"Alopecia, Skin hyperpigmentation, Hyperaesthesia, Malaise, Induration"
boceprevir,"Photosensitivity reaction, Candida infection, Optic neuritis, Dizziness, Faeces discoloured"
bortezomib,"Cushing's syndrome, Electrolyte imbalance, Agitation, Drooling, Gastrointestinal malformation"
bosentan,"Angioedema, Cardiac disorder, Dry skin, Gout, Cystitis noninfective"
bosutinib,"Oedema peripheral, Pancreatitis acute, Vomiting, Arthralgia, Cough"
bretylium,"Dizziness, Paranoia, Loss of consciousness, Confusional state, Angina pectoris"
brimonidine,"Rhinitis, Sinusitis, Nasopharyngitis, Respiratory tract infection, Cyanosis"
brinzolamide,"Infestation, Immune system disorder, Muscle spasms, Lacrimation increased, Chest pain"
bromazepam,"Hostility, Nervousness, Depressed level of consciousness, Vision blurred, Irritability"
bromcresol,"Abscess, Nausea, Urethritis noninfective, Coagulopathy, Vomiting"
bromfenac,"Abnormal sensation in eye, Corneal erosion, Eye disorder, Corneal thinning, Visual acuity reduced"
bromhexine,"Vomiting, Angioedema, Skin disorder, Diarrhoea, Rash"
bromocriptine,"Urinary incontinence, Orthostatic hypotension, Hallucination, Mania, Infection"
budesonide,"Eye disorder, Dry mouth, Rash, Dermatitis contact, Glaucoma"
bumetanide,"Hyperventilation, Dermatitis, Pruritus, Hypotension, Fatigue"
bupivacaine,"Dizziness, Dizziness, Dysphagia, Haemorrhagic anaemia, Anaemia"
buprenorphine,"Neck pain, Angiopathy, Ill-defined disorder, Sensory loss, Blood pressure increased"
bupropion,"Connective tissue disorder, Mental disability, Oedema peripheral, Photophobia, Pelvic infection"
buspirone,"Tremor, Rectal haemorrhage, Tunnel vision, Face oedema, Decreased interest"
busulfan,"Pulmonary valve incompetence, Hyperglycaemia, Hypogonadism, Arrhythmia, Gastrointestinal pain"
butabarbital,"Dizziness, Hypotension, Confusional state, Nervousness, Anxiety"
